City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Keningau,MY,5.3378,116.1602,72.05,99,100,0.6,overcast clouds
1,Esperance,AU,-33.8667,121.9,57.11,87,19,15.3,few clouds
2,Khatanga,RU,71.9667,102.5,22.37,97,100,4.27,light snow
3,Ust-Nera,RU,64.5667,143.2,4.48,95,100,2.26,overcast clouds
4,Hualmay,PE,-11.0964,-77.6139,69.58,72,44,11.32,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,49.75,52,99,5.14,overcast clouds
6,Castro,BR,-24.7911,-50.0119,59.68,76,96,7.56,overcast clouds
7,Malanje,AO,-9.5402,16.341,66.09,91,79,2.59,light rain
8,Pontes E Lacerda,BR,-15.2261,-59.3353,96.84,25,11,2.73,few clouds
9,Hermanus,ZA,-34.4187,19.2345,67.89,87,65,11.39,broken clouds
10,Cape Town,ZA,-33.9258,18.4232,65.88,70,100,1.01,overcast clouds
11,Busselton,AU,-33.65,115.3333,53.1,80,98,14.25,overcast clouds
12,Navrongo,GH,10.8956,-1.0921,85.03,56,100,5.77,overcast clouds
13,Mareeba,AU,-17.0,145.4333,75.92,95,18,1.25,few clouds
14,Albany,US,42.6001,-73.9662,72.59,49,50,1.99,scattered clouds
15,Airai,TL,-8.9266,125.4092,61.56,81,100,1.21,overcast clouds
16,Palembang,ID,-2.9167,104.7458,74.01,97,77,4.12,broken clouds
17,Qasigiannguit,GL,68.8193,-51.1922,32.25,78,100,3.71,overcast clouds
18,Rock Springs,US,41.5875,-109.2029,52.23,53,1,1.99,clear sky
19,Clyde River,CA,70.4692,-68.5914,26.29,94,100,7.94,overcast clouds
20,Torbay,CA,47.6666,-52.7314,49.75,96,90,12.66,light rain
21,Tiarei,PF,-17.5333,-149.3333,84.22,79,85,8.43,light rain
22,Rikitea,PF,-23.1203,-134.9692,74.25,75,6,19.57,clear sky
23,Buin,CL,-33.7333,-70.75,68.32,31,0,10.09,clear sky
24,Heze,CN,35.2431,115.4411,47.66,93,8,5.82,clear sky
25,Bambous Virieux,MU,-20.3428,57.7575,75.22,78,75,11.5,light rain
26,Tigil,RU,57.8,158.6667,14.7,83,47,6.46,scattered clouds
27,Mataura,NZ,-46.1927,168.8643,44.31,73,100,1.34,overcast clouds
28,Ler,SS,8.3018,30.1418,72.21,94,100,5.28,overcast clouds
29,Campbell River,CA,50.0163,-125.2446,53.13,94,90,5.01,overcast clouds
30,Constitucion,CL,-35.3333,-72.4167,58.62,70,21,6.4,few clouds
31,Alpena,US,45.0617,-83.4327,71.92,64,75,3.0,broken clouds
32,Khor,RU,47.8861,134.9464,24.8,63,100,4.54,overcast clouds
33,Terra Santa,BR,-2.1042,-56.4869,90.91,48,98,0.49,light rain
34,Port Alfred,ZA,-33.5906,26.891,63.88,86,7,17.49,clear sky
35,Zvishavane,ZW,-20.3267,30.0665,59.5,70,0,5.17,clear sky
36,Lebu,CL,-37.6167,-73.65,56.86,78,48,8.81,scattered clouds
37,New Norfolk,AU,-42.7826,147.0587,48.7,76,78,3.04,broken clouds
38,Ayr,GB,55.4627,-4.6339,51.78,71,75,18.41,broken clouds
39,Ushtobe,KZ,45.2514,77.9838,55.58,30,100,2.8,overcast clouds
40,Beloha,MG,-25.1667,45.05,68.16,86,99,11.16,overcast clouds
41,Nanortalik,GL,60.1432,-45.2371,37.44,75,1,1.48,clear sky
42,Kodiak,US,57.79,-152.4072,42.31,81,90,0.0,light rain
43,Mar Del Plata,AR,-38.0023,-57.5575,64.42,1,20,18.99,few clouds
44,Zhangye,CN,38.9342,100.4517,41.32,39,1,3.56,clear sky
45,Sao Joao Da Barra,BR,-21.6403,-41.0511,64.49,91,100,11.18,overcast clouds
46,Chuy,UY,-33.6971,-53.4616,62.65,63,81,10.87,broken clouds
47,Barrow,US,71.2906,-156.7887,28.42,86,90,25.32,mist
48,Necochea,AR,-38.5473,-58.7368,68.18,60,1,9.01,clear sky
49,Cidreira,BR,-30.1811,-50.2056,64.2,64,92,14.27,overcast clouds
50,Yellowknife,CA,62.456,-114.3525,43.41,79,93,15.99,overcast clouds
51,Shakawe,BW,-18.3667,21.85,78.44,30,81,3.4,broken clouds
52,Carnarvon,AU,-24.8667,113.6333,66.27,63,90,11.5,overcast clouds
